# DavinciArm telemetry export
# Points=980
# Columns=t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,valid
# Decimals=6
# SortedByTime=true
#
t_rel_s,arm_angle_deg,ref_angle_deg,tracking_error_deg,valid
1.235116,179.732055,180.193418,0.461363,1
1.235118,,180.193418,,1
1.235119,179.096382,180.528775,1.432392,1
1.235122,,180.528775,,1
1.235123,179.275679,180.994555,1.718876,1
1.235125,,180.994555,,1
1.265418,170.939878,170.939878,0.000000,1
1.265437,,170.939878,,1
1.265441,180.013735,180.013734,-0.000001,1
1.265446,,180.013734,,1
1.265448,180.193421,180.193418,-0.000003,1
1.265452,,180.193418,,1
1.265455,180.528777,180.528775,-0.000002,1
1.265459,,180.528775,,1
1.265461,180.994552,180.994555,0.000003,1
1.265467,,180.994555,,1
1.293976,171.066686,170.939878,-0.126808,1
1.293994,,170.939878,,1
1.293998,179.980241,180.013734,0.033492,1
1.294003,,180.013734,,1
1.294005,179.732055,180.193418,0.461363,1
1.294009,,180.193418,,1
1.294011,179.096382,180.528775,1.432392,1
1.294016,,180.528775,,1
1.294018,179.275679,180.994555,1.718876,1
1.294023,,180.994555,,1
1.324292,170.939878,170.939878,0.000000,1
1.324309,,170.939878,,1
1.324311,180.013735,180.013734,-0.000001,1
1.324313,,180.013734,,1
1.324315,180.193421,180.193418,-0.000003,1
1.324317,,180.193418,,1
1.324319,180.528777,180.528775,-0.000002,1
1.324323,,180.528775,,1
1.324324,180.994552,180.994555,0.000003,1
1.324328,,180.994555,,1
1.354460,171.066686,170.939878,-0.126808,1
1.354478,,170.939878,,1
1.354480,179.980241,180.013734,0.033492,1
1.354483,,180.013734,,1
1.354486,179.732055,180.193418,0.461363,1
1.354488,,180.193418,,1
1.354490,179.096382,180.528775,1.432392,1
1.354493,,180.528775,,1
1.354495,179.275679,180.994555,1.718876,1
1.354498,,180.994555,,1
1.384655,170.939878,170.939878,0.000000,1
1.384665,,170.939878,,1
1.384667,180.013735,180.013734,-0.000001,1
1.384671,,180.013734,,1
1.384673,180.193421,180.193418,-0.000003,1
1.384676,,180.193418,,1
1.384677,180.528777,180.528775,-0.000002,1
1.384680,,180.528775,,1
1.384682,180.994552,180.994555,0.000003,1
1.384686,,180.994555,,1
1.414857,171.066686,170.939878,-0.126808,1
1.414873,,170.939878,,1
1.414875,179.980241,180.013734,0.033492,1
1.414878,,180.013734,,1
1.414879,179.732055,180.193418,0.461363,1
1.414882,,180.193418,,1
1.414883,179.096382,180.528775,1.432392,1
1.414897,,180.528775,,1
1.414899,179.275679,180.994555,1.718876,1
1.414902,,180.994555,,1
1.447221,170.939878,170.939878,0.000000,1
1.447246,,170.939878,,1
1.447251,180.013735,180.013734,-0.000001,1
1.447257,,180.013734,,1
1.447261,180.193421,180.193418,-0.000003,1
1.447265,,180.193418,,1
1.447270,180.528777,180.528775,-0.000002,1
1.447275,,180.528775,,1
1.447278,180.994552,180.994555,0.000003,1
1.447282,,180.994555,,1
1.475437,171.066686,170.939878,-0.126808,1
1.475456,,170.939878,,1
1.475458,179.980241,180.013734,0.033492,1
1.475461,,180.013734,,1
1.475462,179.732055,180.193418,0.461363,1
1.475464,,180.193418,,1
1.475466,179.096382,180.528775,1.432392,1
1.475470,,180.528775,,1
1.475471,179.275679,180.994555,1.718876,1
1.475474,,180.994555,,1
1.505639,170.939878,170.939878,0.000000,1
1.505658,,170.939878,,1
1.505661,180.013735,180.013734,-0.000001,1
1.505666,,180.013734,,1
1.505668,180.193421,180.193418,-0.000003,1
1.505670,,180.193418,,1
1.505674,180.528777,180.528775,-0.000002,1
1.505677,,180.528775,,1
1.505679,180.994552,180.994555,0.000003,1
1.505683,,180.994555,,1
1.535941,171.066686,170.939878,-0.126808,1
1.535951,,170.939878,,1
1.535952,179.980241,180.013734,0.033492,1
1.535956,,180.013734,,1
1.535957,179.732055,180.193418,0.461363,1
1.535959,,180.193418,,1
1.535960,179.096382,180.528775,1.432392,1
1.535963,,180.528775,,1
1.535964,179.275679,180.994555,1.718876,1
1.535966,,180.994555,,1
1.566514,170.939878,170.939878,0.000000,1
1.566529,,170.939878,,1
1.566532,180.013735,180.013734,-0.000001,1
1.566536,,180.013734,,1
1.566538,180.193421,180.193418,-0.000003,1
1.566540,,180.193418,,1
1.566542,180.528777,180.528775,-0.000002,1
1.566545,,180.528775,,1
1.566547,180.994552,180.994555,0.000003,1
1.566550,,180.994555,,1
1.596721,171.066686,170.939878,-0.126808,1
1.596740,,170.939878,,1
1.596743,179.980241,180.013734,0.033492,1
1.596749,,180.013734,,1
1.596752,179.732055,180.193418,0.461363,1
1.596755,,180.193418,,1
1.596758,179.096382,180.528775,1.432392,1
1.596762,,180.528775,,1
1.596765,179.275679,180.994555,1.718876,1
1.596769,,180.994555,,1
1.626962,170.939878,170.939878,0.000000,1
1.626980,,170.939878,,1
1.626983,180.013735,180.013734,-0.000001,1
1.626989,,180.013734,,1
1.626992,180.193421,180.193418,-0.000003,1
1.626995,,180.193418,,1
1.626998,180.528777,180.528775,-0.000002,1
1.627002,,180.528775,,1
1.627004,180.994552,180.994555,0.000003,1
1.627009,,180.994555,,1
1.657315,171.066686,170.939878,-0.126808,1
1.657347,,170.939878,,1
1.657350,179.980241,180.013734,0.033492,1
1.657354,,180.013734,,1
1.657356,179.732055,180.193418,0.461363,1
1.657358,,180.193418,,1
1.657360,179.096383,180.528775,1.432392,1
1.657365,,180.528775,,1
1.657367,179.275679,180.994555,1.718876,1
1.657372,,180.994555,,1
1.687466,170.939878,170.939878,0.000000,1
1.687478,,170.939878,,1
1.687481,180.013735,180.013734,-0.000001,1
1.687484,,180.013734,,1
1.687495,180.193421,180.193418,-0.000003,1
1.687497,,180.193418,,1
1.687499,180.528777,180.528775,-0.000002,1
1.687502,,180.528775,,1
1.687504,180.994552,180.994555,0.000003,1
1.687507,,180.994555,,1
1.716473,171.066686,170.939878,-0.126808,1
1.716494,,170.939878,,1
1.716499,179.980241,180.013734,0.033492,1
1.716505,,180.013734,,1
1.716510,179.732055,180.193418,0.461363,1
1.716517,,180.193418,,1
1.716520,179.096383,180.528775,1.432392,1
1.716525,,180.528775,,1
1.716529,179.275679,180.994555,1.718876,1
1.716535,,180.994555,,1
1.746805,170.939878,170.939878,0.000000,1
1.746820,,170.939878,,1
1.746822,180.013735,180.013734,-0.000001,1
1.746824,,180.013734,,1
1.746827,180.193421,180.193418,-0.000003,1
1.746829,,180.193418,,1
1.746830,180.528777,180.528775,-0.000002,1
1.746832,,180.528775,,1
1.746834,180.994552,180.994555,0.000003,1
1.746836,,180.994555,,1
1.777027,171.066686,170.939878,-0.126808,1
1.777049,,170.939878,,1
1.777051,179.980241,180.013734,0.033492,1
1.777059,,180.013734,,1
1.777062,179.732055,180.193418,0.461363,1
1.777065,,180.193418,,1
1.777067,179.096383,180.528775,1.432392,1
1.777071,,180.528775,,1
1.777073,179.275679,180.994555,1.718876,1
1.777076,,180.994555,,1
1.807288,170.939878,170.939878,0.000000,1
1.807336,,170.939878,,1
1.807339,180.013735,180.013734,-0.000001,1
1.807347,,180.013734,,1
1.807349,180.193421,180.193418,-0.000003,1
1.807352,,180.193418,,1
1.807356,180.528777,180.528775,-0.000002,1
1.807360,,180.528775,,1
1.807362,180.994552,180.994555,0.000003,1
1.807368,,180.994555,,1
1.837756,171.066686,170.939878,-0.126809,1
1.837766,,170.939878,,1
1.837768,179.980241,180.013734,0.033492,1
1.837772,,180.013734,,1
1.837775,179.732055,180.193418,0.461363,1
1.837776,,180.193418,,1
1.837778,179.096383,180.528775,1.432392,1
1.837781,,180.528775,,1
1.837782,179.275679,180.994555,1.718876,1
1.837786,,180.994555,,1
1.868154,170.939878,170.939878,0.000000,1
1.868175,,170.939878,,1
1.868180,180.013735,180.013734,-0.000001,1
1.868186,,180.013734,,1
1.868190,180.193421,180.193418,-0.000003,1
1.868194,,180.193418,,1
1.868198,180.528777,180.528775,-0.000002,1
1.868205,,180.528775,,1
1.868208,180.994552,180.994555,0.000003,1
1.868214,,180.994555,,1
1.896514,171.066686,170.939878,-0.126809,1
1.896530,,170.939878,,1
1.896533,179.980241,180.013734,0.033492,1
1.896536,,180.013734,,1
1.896538,179.732055,180.193418,0.461363,1
1.896541,,180.193418,,1
1.896544,179.096383,180.528775,1.432392,1
1.896547,,180.528775,,1
1.896548,179.275679,180.994555,1.718876,1
1.896551,,180.994555,,1
1.926782,170.939878,170.939878,0.000000,1
1.926799,,170.939878,,1
1.926803,180.013735,180.013734,-0.000001,1
1.926809,,180.013734,,1
1.926813,180.193421,180.193418,-0.000003,1
1.926819,,180.193418,,1
1.926823,180.528777,180.528775,-0.000003,1
1.926829,,180.528775,,1
1.926832,180.994552,180.994555,0.000003,1
1.926837,,180.994555,,1
1.959483,171.066686,170.939878,-0.126809,1
1.959504,,170.939878,,1
1.959507,179.980241,180.013734,0.033492,1
1.959509,,180.013734,,1
1.959512,179.732055,180.193418,0.461363,1
1.959514,,180.193418,,1
1.959518,179.096383,180.528775,1.432392,1
1.959521,,180.528775,,1
1.959523,179.275679,180.994555,1.718876,1
1.959525,,180.994555,,1
1.987492,170.939878,170.939878,0.000000,1
1.987510,,170.939878,,1
1.987515,180.013735,180.013734,-0.000001,1
1.987521,,180.013734,,1
1.987525,180.193421,180.193418,-0.000003,1
1.987531,,180.193418,,1
1.987535,180.528777,180.528775,-0.000003,1
1.987541,,180.528775,,1
1.987543,180.994552,180.994555,0.000003,1
1.987547,,180.994555,,1
2.017931,171.066686,170.939878,-0.126809,1
2.017950,,170.939878,,1
2.017953,179.980241,180.013734,0.033492,1
2.017958,,180.013734,,1
2.017961,179.732055,180.193418,0.461363,1
2.017964,,180.193418,,1
2.017967,179.096383,180.528775,1.432392,1
2.017971,,180.528775,,1
2.017996,179.275679,180.994555,1.718876,1
2.018006,,180.994555,,1
2.048293,170.939878,170.939878,0.000000,1
2.048308,,170.939878,,1
2.048309,180.013735,180.013734,-0.000001,1
2.048311,,180.013734,,1
2.048313,180.193421,180.193418,-0.000003,1
2.048315,,180.193418,,1
2.048317,180.528777,180.528775,-0.000003,1
2.048319,,180.528775,,1
2.048320,180.994552,180.994555,0.000003,1
2.048322,,180.994555,,1
2.078590,171.066686,170.939878,-0.126809,1
2.078617,,170.939878,,1
2.078621,179.980241,180.013734,0.033492,1
2.078625,,180.013734,,1
2.078628,179.732055,180.193418,0.461363,1
2.078631,,180.193418,,1
2.078634,179.096383,180.528775,1.432392,1
2.078638,,180.528775,,1
2.078640,179.275679,180.994555,1.718876,1
2.078644,,180.994555,,1
2.108869,170.939878,170.939878,0.000000,1
2.108889,,170.939878,,1
2.108891,180.013735,180.013734,-0.000001,1
2.108894,,180.013734,,1
2.108895,180.193421,180.193418,-0.000003,1
2.108898,,180.193418,,1
2.108900,180.528777,180.528775,-0.000003,1
2.108903,,180.528775,,1
2.108904,180.994552,180.994555,0.000003,1
2.108906,,180.994555,,1
2.138974,171.066686,170.939878,-0.126809,1
2.138984,,170.939878,,1
2.138986,179.980241,180.013734,0.033492,1
2.138988,,180.013734,,1
2.138990,179.732055,180.193418,0.461363,1
2.138991,,180.193418,,1
2.138993,179.096383,180.528775,1.432392,1
2.138996,,180.528775,,1
2.138998,179.275679,180.994555,1.718876,1
2.139000,,180.994555,,1
2.169156,170.939878,170.939878,0.000000,1
2.169176,,170.939878,,1
2.169179,180.013735,180.013734,-0.000001,1
2.169185,,180.013734,,1
2.169189,180.193421,180.193418,-0.000003,1
2.169196,,180.193418,,1
2.169199,180.528777,180.528775,-0.000003,1
2.169204,,180.528775,,1
2.169207,180.994552,180.994555,0.000003,1
2.169211,,180.994555,,1
2.199793,171.066686,170.939878,-0.126809,1
2.199813,,170.939878,,1
2.199816,179.980241,180.013734,0.033492,1
2.199821,,180.013734,,1
2.199823,179.732055,180.193418,0.461363,1
2.199827,,180.193418,,1
